"code","description","valid","value","lastUpdate","description_en","description_sl"
"TGHfo3","Slovenian","true","sl","2018-07-31T12:24:31.904Z","Slovenian","Slovenščina"
"TWfrkP","English","true","en","2018-07-31T12:25:02.978Z","English","Angleščina"
